COD_MUNICIPIO,NOME_MUNICIPIO,MEDIA_SOMA_NOTA_CH,MEDIA_SOMA_NOTA_CN,MEDIA_SOMA_NOTA_LC,MEDIA_SOMA_NOTA_MT,MEDIA_SOMA_INSE_VALOR_ABSOLUTO
3528809,Maracaí,551.8,510.6,515.7,702.5,5.17
3529005,Marília,574.78,557.51,564.29,644.83,5.36
3529203,Martinópolis,561.56,548.48,568.9,645.56,5.14
3529302,Matão,561.7,534.2,560.06,613.84,5.34
3529401,Mauá,554.2,521.36,560.79,595.84,5.2
3530102,Mirandópolis,562.44,513.43,569.61,616.64,5.24
3530201,Mirante do Paranapanema,410.6,400.0,453.3,548.3,4.98
3530300,Mirassol,502.75,572.6,489.3,646.39,5.37
3530508,Mococa,566.29,540.87,558.2,627.5,5.25
3530607,Mogi das Cruzes,567.79,548.55,572.12,643.29,5.22
3530706,Mogi Guaçu,584.11,560.92,578.78,658.14,5.38
3530805,Mogi Mirim,604.78,583.64,581.09,693.77,5.45
3531100,Mongaguá,485.4,510.17,568.63,578.2,5.21
3531209,Monte Alegre do Sul,555.5,565.7,557.8,521.6,5.49
3531308,Monte Alto,537.87,527.22,546.8,571.21,5.34
3531407,Monte Aprazível,546.08,554.06,560.16,637.89,5.24
3531506,Monte Azul Paulista,,,,,5.32
3531803,Monte Mor,597.7,542.1,578.25,522.6,5.33
3532603,Nhandeara,558.3,546.73,572.9,565.47,5.29
3533007,Nova Granada,574.24,537.34,562.97,582.23,5.18
3533403,Nova Odessa,523.61,502.82,544.79,578.75,5.58
3533502,Novo Horizonte,570.14,558.94,582.78,652.85,5.29
3533908,Olímpia,616.99,575.88,585.65,688.41,5.36
3534302,Orlândia,564.27,543.31,559.21,631.5,5.41
3534401,Osasco,572.74,541.34,570.92,621.95,5.16
3534609,Osvaldo Cruz,553.55,503.07,560.0,550.37,5.37
3534708,Ourinhos,591.0,572.69,583.51,653.8,5.25
3535101,Palmares Paulista,449.1,466.0,460.6,431.5,5.04
3535200,Palmeira d'Oeste,556.55,499.2,560.6,598.25,5.24
3535309,Palmital,535.77,522.49,538.77,601.57,5.24
3535507,Paraguaçu Paulista,572.21,527.87,565.6,616.34,5.25
3535804,Paranapanema,596.98,568.68,598.9,700.55,5.11
3536208,Pariquera-Açu,530.13,512.23,519.25,562.4,4.91
3536505,Paulínia,568.6,540.65,550.74,612.62,5.61
3536703,Pederneiras,565.52,556.73,561.42,644.32,5.25
3537107,Pedreira,509.3,498.69,529.1,547.43,5.36
3537206,Pedro de Toledo,386.8,349.8,469.5,472.4,4.92
3537305,Penápolis,574.02,547.56,567.45,628.67,5.24
3537404,Pereira Barreto,558.35,568.64,573.67,657.16,5.29
3537602,Peruíbe,567.48,544.1,562.71,629.6,5.03
3537800,Piedade,632.75,597.57,593.93,681.7,5.08
3537909,Pilar do Sul,594.22,554.12,593.16,646.76,5.25
3538006,Pindamonhangaba,583.38,559.48,574.64,646.16,5.25
3538600,Piracaia,646.1,570.45,616.45,674.4,5.13
3538709,Piracicaba,578.36,555.46,571.86,647.33,5.38
3538808,Piraju,603.71,563.48,594.3,685.93,5.28
3538907,Pirajuí,524.6,524.4,584.1,718.0,5.24
3539004,Pirangi,,,,,5.29
3539202,Pirapozinho,543.69,438.9,563.2,480.53,5.26
3539301,Pirassununga,590.11,578.34,580.97,661.84,5.38
3539400,Piratininga,542.2,552.58,511.53,602.68,5.4
3539509,Pitangueiras,538.24,503.55,551.71,598.43,5.08
3539806,Poá,468.11,483.56,518.63,572.06,5.32
3540002,Pompéia,584.08,557.27,588.65,645.01,5.36
3540101,Pongaí,,,,,5.15
3540200,Pontal,549.4,543.74,552.78,612.38,4.9
3540606,Porto Feliz,524.8,545.12,571.82,598.18,5.36
3540705,Porto Ferreira,574.02,565.8,576.94,621.59,5.25
3540804,Potirendaba,586.3,571.6,557.1,717.6,5.33
3541000,Praia Grande,561.1,528.77,564.72,602.7,5.19
3541208,Presidente Bernardes,623.07,584.26,601.86,641.67,5.25
3541307,Presidente Epitácio,519.7,479.81,532.29,554.48,5.19
3541406,Presidente Prudente,572.97,556.7,569.28,644.11,5.41
3541505,Presidente Venceslau,558.73,554.94,569.89,621.08,5.33
3541604,Promissão,544.41,547.34,540.19,607.72,5.27
3541703,Quatá,562.54,558.9,563.2,609.64,5.27
3542107,Rafard,,,,,5.27
3542206,Rancharia,492.7,471.93,494.13,458.17,5.28
3542404,Regente Feijó,572.02,525.86,566.43,625.44,5.3
3542602,Registro,555.02,532.51,559.29,596.68,4.98
3542909,Ribeirão Bonito,594.0,568.0,599.67,501.35,5.17
3543303,Ribeirão Pires,534.56,511.16,555.78,575.18,5.37
3543402,Ribeirão Preto,585.4,571.05,576.61,658.62,5.28
3543907,Rio Claro,581.38,566.19,580.01,654.73,5.33
3544004,Rio das Pedras,439.2,502.0,566.5,430.3,5.41
3544202,Riolândia,540.14,527.78,539.66,645.06,4.9
3544251,Rosana,576.56,534.54,586.94,655.72,5.0
3544301,Roseira,455.6,431.0,531.6,447.4,5.14
3545159,Saltinho,534.35,484.45,568.9,418.4,5.77
3545209,Salto,583.15,570.07,579.91,666.89,5.43
3545308,Salto de Pirapora,468.04,459.42,504.36,462.5,5.17
3545506,Sandovalina,372.3,356.0,411.7,490.5,5.04
3545605,Santa Adélia,561.7,582.93,569.8,700.06,5.34
3545803,Santa Bárbara d'Oeste,534.35,505.25,540.25,569.99,5.43
3546306,Santa Cruz das Palmeiras,581.22,565.83,578.39,634.83,5.09
3546405,Santa Cruz do Rio Pardo,560.45,539.19,567.99,610.25,5.24
3546603,Santa Fé do Sul,511.25,534.83,534.11,644.87,5.32
3546801,Santa Isabel,528.16,530.96,532.0,517.1,5.15
3547304,Santana de Parnaíba,575.89,549.62,575.53,658.17,5.31
3547502,Santa Rita do Passa Quatro,602.99,573.41,578.22,673.74,5.37
3547601,Santa Rosa de Viterbo,549.28,554.56,557.74,585.99,5.27
3547700,Santo Anastácio,542.48,503.39,547.79,578.85,5.15
3547809,Santo André,578.48,550.47,575.35,641.31,5.37
3548302,Santo Expedito,505.2,502.6,547.9,497.8,5.29
3548500,Santos,566.66,543.19,570.9,625.96,5.1
3548609,São Bento do Sapucaí,550.0,499.95,552.8,572.75,5.3
3548708,São Bernardo do Campo,583.05,555.35,580.8,655.42,5.36
3548807,São Caetano do Sul,589.45,561.55,581.66,676.08,5.65
3548906,São Carlos,585.54,564.71,577.29,654.99,5.41
3549102,São João da Boa Vista,580.51,561.71,577.52,659.27,5.38
3549409,São Joaquim da Barra,530.88,508.96,528.09,516.44,5.29
3549706,São José do Rio Pardo,592.09,572.73,578.41,667.35,5.44
3549805,São José do Rio Preto,587.0,566.55,580.17,661.83,5.36
3549904,São José dos Campos,598.14,572.78,585.26,676.77,5.4
3549953,São Lourenço da Serra,537.0,517.6,574.4,545.8,5.02
3550100,São Manuel,546.51,560.99,554.02,612.76,5.27
3550308,São Paulo,585.85,555.7,579.53,655.91,5.13
3550407,São Pedro,605.86,569.93,585.69,652.19,5.35
3550506,São Pedro do Turvo,,,,,5.11
3550605,São Roque,542.65,527.61,556.37,609.63,5.31
3550704,São Sebastião,575.37,536.34,568.95,606.06,5.06
3550803,São Sebastião da Grama,572.7,561.05,569.45,589.9,5.13
3550902,São Simão,495.64,490.37,525.97,603.51,5.3
3551009,São Vicente,529.01,506.14,551.78,568.73,5.01
3551306,Sebastianópolis do Sul,530.4,378.0,516.9,420.3,5.35
3551504,Serrana,582.93,532.68,560.33,589.88,5.14
3551603,Serra Negra,562.43,611.23,571.97,682.0,5.29
3551702,Sertãozinho,564.06,556.82,565.38,621.68,5.33
3552106,Socorro,583.49,555.62,570.8,625.02,5.27
3552205,Sorocaba,578.35,560.11,572.89,655.44,5.43
3552403,Sumaré,548.66,532.52,550.84,628.43,5.32
3552502,Suzano,550.65,529.05,560.54,601.65,5.22
3552601,Tabapuã,478.2,506.7,538.5,629.5,5.14
3552700,Tabatinga,469.33,471.96,498.13,533.47,5.16
3552809,Taboão da Serra,561.25,534.63,568.51,634.36,5.24
3553302,Tambaú,546.61,535.44,559.0,586.37,5.15
3553401,Tanabi,650.85,637.63,617.83,749.7,5.18
3553609,Tapiratiba,555.6,516.17,552.8,572.8,5.28
3553708,Taquaritinga,576.93,559.42,577.82,653.48,5.25
3553807,Taquarituba,561.29,543.99,557.87,627.96,5.06
3553906,Tarabai,433.3,462.5,543.8,537.7,5.15
3554003,Tatuí,570.19,555.32,574.24,645.53,5.28
3554102,Taubaté,571.95,549.34,572.62,641.71,5.34
3554300,Teodoro Sampaio,564.2,513.55,547.78,650.55,5.05
3554508,Tietê,598.94,580.03,591.64,683.0,5.37
3554805,Tremembé,578.91,530.08,564.45,557.51,5.25
3555000,Tupã,572.85,568.35,568.67,594.59,5.36
3555109,Tupi Paulista,584.72,561.78,564.86,648.96,5.41
3555406,Ubatuba,580.64,530.09,577.23,610.41,5.0
3555604,Uchoa,526.2,415.9,507.8,470.4,5.3
3556008,Urupês,597.94,546.46,576.24,611.14,5.33
3556107,Valentim Gentil,551.9,544.4,577.3,678.8,5.21
3556206,Valinhos,619.02,601.8,602.28,719.21,5.42
3556305,Valparaíso,533.85,494.35,521.25,627.35,5.06
3556354,Vargem,400.5,375.3,478.0,412.7,5.27
3556404,Vargem Grande do Sul,554.56,499.14,532.9,589.26,5.27
3556453,Vargem Grande Paulista,577.94,578.05,574.99,635.23,5.33
3556503,Várzea Paulista,545.0,517.46,533.86,595.08,5.29
3556701,Vinhedo,587.47,565.35,582.35,648.66,5.53
3556800,Viradouro,547.75,523.59,547.69,634.39,5.18
3557006,Votorantim,548.91,524.47,565.66,615.16,5.35
3557105,Votuporanga,576.14,559.1,576.74,651.09,5.32
4100509,Altônia,523.45,493.85,517.9,570.53,5.14
4100707,Alto Piquiri,,,,,5.05
4100806,Alvorada do Sul,580.95,570.25,583.9,581.55,5.19
4101002,Ampére,639.9,564.3,604.2,660.9,5.25
4101101,Andirá,442.5,431.8,462.85,608.5,5.15
4101408,Apucarana,560.69,532.51,562.63,620.57,5.28
4101507,Arapongas,554.39,558.46,553.16,645.79,5.32
4101606,Arapoti,569.97,504.47,558.33,561.76,5.06
4101804,Araucária,544.05,532.73,550.71,611.66,5.34
4101903,Assaí,383.9,417.9,453.5,395.3,5.36
4102000,Assis Chateaubriand,583.15,511.2,580.27,554.6,5.26
4102109,Astorga,316.7,460.6,512.2,428.5,5.24
4102406,Bandeirantes,546.22,537.22,564.45,583.53,5.23
