COD_MUNICIPIO,NOME_MUNICIPIO,MEDIA_SOMA_NOTA_CH,MEDIA_SOMA_NOTA_CN,MEDIA_SOMA_NOTA_LC,MEDIA_SOMA_NOTA_MT,MEDIA_SOMA_INSE_VALOR_ABSOLUTO
3301850,Guapimirim,497.99,467.96,517.27,498.41,4.94
3301876,Iguaba Grande,505.63,468.24,526.16,508.07,5.01
3301900,Itaboraí,488.77,458.05,510.32,492.03,4.85
3302007,Itaguaí,500.99,474.76,520.52,519.74,4.84
3302056,Italva,511.87,490.81,524.59,533.41,4.93
3302106,Itaocara,515.16,494.05,527.5,539.8,4.91
3302205,Itaperuna,525.51,502.7,531.05,559.13,4.85
3302254,Itatiaia,480.08,467.43,497.63,500.52,5.12
3302270,Japeri,465.02,444.34,496.55,473.73,4.6
3302304,Laje do Muriaé,485.46,456.43,501.83,493.6,4.67
3302403,Macaé,527.25,500.8,538.36,557.99,4.95
3302452,Macuco,486.38,458.15,505.88,502.05,5.08
3302502,Magé,489.35,458.35,510.81,499.01,4.78
3302601,Mangaratiba,486.36,454.81,513.17,490.28,5.02
3302700,Maricá,513.35,479.69,530.57,521.97,5.03
3302809,Mendes,495.56,464.54,522.16,497.22,4.91
3302858,Mesquita,484.16,453.19,506.09,483.41,4.8
3302908,Miguel Pereira,517.99,482.37,532.37,541.74,5.1
3303005,Miracema,494.61,466.2,509.41,495.61,4.7
3303104,Natividade,449.16,447.24,484.96,475.3,4.79
3303203,Nilópolis,518.67,484.9,532.87,530.55,4.78
3303302,Niterói,546.91,513.86,551.45,579.66,4.95
3303401,Nova Friburgo,544.26,510.94,550.38,571.35,5.12
3303500,Nova Iguaçu,495.57,465.89,517.2,505.38,4.76
3303609,Paracambi,514.88,483.58,532.2,541.6,4.97
3303708,Paraíba do Sul,486.03,458.2,505.96,497.31,4.96
3303807,Paraty,504.22,475.85,519.95,501.26,4.8
3303856,Paty do Alferes,491.04,463.29,511.67,487.73,4.78
3303906,Petrópolis,523.31,492.58,533.24,542.44,5.04
3303955,Pinheiral,542.7,523.26,552.48,588.55,5.19
3304003,Piraí,484.14,448.21,510.33,494.15,4.99
3304102,Porciúncula,462.78,440.89,480.73,477.06,4.7
3304110,Porto Real,487.57,478.38,516.34,498.07,5.25
3304128,Quatis,491.8,458.89,525.96,497.14,5.15
3304144,Queimados,476.69,448.06,502.45,481.64,4.68
3304151,Quissamã,506.55,493.73,515.59,535.58,4.94
3304201,Resende,533.78,497.63,543.24,554.65,5.1
3304300,Rio Bonito,502.85,482.23,517.58,515.0,4.8
3304409,Rio Claro,474.26,450.17,493.9,479.56,4.95
3304508,Rio das Flores,515.09,477.25,518.22,507.09,5.01
3304524,Rio das Ostras,515.84,485.25,533.0,533.69,5.15
3304557,Rio de Janeiro,535.09,503.71,545.06,566.66,4.88
3304607,Santa Maria Madalena,529.81,487.66,527.58,530.11,4.89
3304706,Santo Antônio de Pádua,512.4,485.27,521.54,541.62,4.87
3304755,São Francisco de Itabapoana,475.33,464.01,500.28,495.04,4.67
3304805,São Fidélis,491.73,467.17,513.31,512.9,4.82
3304904,São Gonçalo,506.72,475.67,521.3,514.77,4.81
3305000,São João da Barra,480.04,459.07,516.9,509.63,4.87
3305109,São João de Meriti,496.73,463.9,516.38,500.74,4.76
3305133,São José de Ubá,486.11,437.83,492.73,505.97,4.81
3305158,São José do Vale do Rio Preto,517.44,478.93,525.52,522.55,5.03
3305208,São Pedro da Aldeia,497.77,470.5,518.29,512.04,4.93
3305307,São Sebastião do Alto,485.27,464.95,496.3,500.33,4.99
3305406,Sapucaia,498.6,469.71,509.76,508.25,4.96
3305505,Saquarema,505.26,471.3,522.27,512.73,4.91
3305554,Seropédica,506.43,478.07,520.81,514.68,4.96
3305604,Silva Jardim,469.11,446.5,490.26,470.08,4.76
3305703,Sumidouro,496.02,437.91,503.04,464.21,4.84
3305752,Tanguá,496.58,468.72,516.3,492.79,4.85
3305802,Teresópolis,519.16,489.57,536.56,541.57,5.05
3305901,Trajano de Moraes,474.94,436.14,479.34,472.57,5.0
3306008,Três Rios,500.82,472.11,521.25,512.95,4.93
3306107,Valença,529.5,493.7,536.34,548.45,4.96
3306156,Varre-Sai,485.45,476.5,498.5,512.43,4.65
3306206,Vassouras,504.44,486.93,516.75,514.33,4.93
3306305,Volta Redonda,523.43,495.61,535.5,560.67,5.25
3500105,Adamantina,524.96,494.73,539.76,554.12,5.44
3500204,Adolfo,450.56,442.62,467.18,522.88,4.94
3500303,Aguaí,500.64,479.08,519.44,532.01,5.16
3500402,Águas da Prata,503.42,467.09,528.15,509.26,5.3
