COD_MUNICIPIO,NOME_MUNICIPIO,MEDIA_SOMA_NOTA_CH,MEDIA_SOMA_NOTA_CN,MEDIA_SOMA_NOTA_LC,MEDIA_SOMA_NOTA_MT,MEDIA_SOMA_INSE_VALOR_ABSOLUTO
3533809,Óleo,533.27,479.0,492.43,521.17,5.23
1505106,Óbidos,481.3,465.0,457.61,475.68,3.85
2900504,Érico Cardoso,437.67,429.57,400.89,446.77,4.4
4101150,Ângulo,490.87,431.4,474.27,482.13,5.33
4301552,Áurea,502.06,492.93,483.81,454.01,5.3
3501400,Álvaro de Carvalho,423.25,434.85,424.85,457.0,5.12
3501301,Álvares Machado,550.55,509.05,524.59,576.11,5.33
3501202,Álvares Florence,471.82,411.4,425.26,490.9,5.28
3200136,Águia Branca,466.96,433.13,436.43,499.47,4.68
3500600,Águas de São Pedro,580.87,501.8,543.07,501.23,5.78
3500550,Águas de Santa Bárbara,516.25,531.05,577.65,619.95,5.46
3500501,Águas de Lindóia,516.63,479.95,523.17,558.99,5.56
4200507,Águas de Chapecó,497.88,474.38,479.63,519.63,5.14
3500402,Águas da Prata,,,,,5.35
3101003,Águas Vermelhas,466.38,443.72,441.81,471.22,4.46
4200606,Águas Mornas,449.25,498.76,424.39,525.16,5.89
5200258,Águas Lindas de Goiás,492.34,466.89,479.06,499.01,4.89
4200556,Águas Frias,500.96,486.64,487.22,512.68,5.14
3100906,Águas Formosas,528.7,494.83,504.53,546.37,4.55
2600500,Águas Belas,465.98,445.5,454.56,477.45,4.14
4300059,Água Santa,523.96,494.19,483.53,504.3,5.51
2600401,Água Preta,465.61,444.45,464.56,462.95,4.34
2400406,Água Nova,491.7,431.37,437.5,438.73,4.6
5200209,Água Limpa,472.9,443.22,461.93,479.32,5.13
5200175,Água Fria de Goiás,472.93,462.4,488.33,513.25,4.76
2900405,Água Fria,444.25,431.04,437.63,472.59,4.28
3200169,Água Doce do Norte,480.24,461.67,478.85,508.53,4.5
2100154,Água Doce do Maranhão,447.45,437.26,435.54,469.67,3.99
4200408,Água Doce,516.79,487.31,463.84,532.02,5.27
3100708,Água Comprida,514.28,446.33,476.44,556.5,5.2
5000203,Água Clara,495.44,480.97,463.79,472.95,5.22
2200202,Água Branca,492.39,461.22,476.64,505.0,4.31
2500106,Água Branca,464.17,446.28,463.98,487.36,4.44
2700102,Água Branca,469.03,447.52,454.42,477.77,4.2
3100609,Água Boa,499.61,469.66,477.92,490.58,4.34
5100201,Água Boa,529.13,507.06,496.72,563.22,5.13
1500347,Água Azul do Norte,468.46,424.64,435.59,478.78,4.45
2114007,Zé Doca,500.5,472.41,479.42,506.28,4.12
4219853,Zortéa,459.04,435.74,450.88,397.86,5.42
3557154,Zacarias,,,,,5.22
2517407,Zabelê,490.5,452.35,460.7,479.55,4.48
2933604,Xique-Xique,465.08,447.49,450.89,483.72,4.37
1508407,Xinguara,459.71,460.93,436.13,492.25,4.62
2616506,Xexéu,456.5,461.02,461.14,463.8,4.36
4219705,Xaxim,526.77,501.02,505.7,540.64,5.47
4219606,Xavantina,557.9,477.37,506.1,572.0,5.49
1200708,Xapuri,492.95,478.92,467.05,479.37,4.46
4219507,Xanxerê,540.94,528.31,522.91,565.78,5.38
4323804,Xangri-lá,498.42,491.39,498.66,506.73,5.47
4128807,Xambrê,454.22,446.63,428.2,534.78,5.25
1722107,Xambioá,469.09,443.66,449.82,470.55,4.67
4219408,Witmarsum,528.55,524.95,529.3,539.55,5.55
2933505,Wenceslau Guimarães,427.21,450.48,432.98,490.47,4.34
3172202,Wenceslau Braz,502.52,461.63,475.75,504.98,5.19
4128500,Wenceslau Braz,534.1,507.15,524.11,556.25,5.1
1722081,Wanderlândia,459.73,368.67,461.82,384.32,4.44
2933455,Wanderley,479.37,464.0,473.74,496.51,4.41
2211704,Wall Ferraz,417.22,405.76,429.62,465.1,4.09
2933406,Wagner,517.08,445.05,523.7,524.03,4.24
2933109,Várzea do Poço,491.06,454.12,508.12,480.19,4.43
2933059,Várzea da Roça,453.67,436.89,468.35,503.28,4.41
3170800,Várzea da Palma,494.01,461.77,485.58,504.07,4.79
3556503,Várzea Paulista,511.44,482.4,499.11,517.83,5.33
2933158,Várzea Nova,459.5,461.97,457.77,454.52,4.47
2211407,Várzea Grande,464.31,437.81,439.43,461.35,4.56
5108402,Várzea Grande,495.59,467.23,479.27,509.71,4.96
2211357,Várzea Branca,485.98,439.82,455.72,448.91,3.92
2314003,Várzea Alegre,471.27,449.99,459.94,495.34,4.21
2414704,Várzea,530.36,517.9,460.42,534.04,4.48
2517100,Várzea,463.59,463.0,447.91,517.57,4.37
3557105,Votuporanga,536.02,519.44,524.14,588.1,5.36
3557006,Votorantim,524.15,491.31,512.47,548.32,5.37
3306305,Volta Redonda,545.37,518.51,526.12,581.14,5.25
3172103,Volta Grande,445.78,447.23,406.03,434.93,4.9
